Fish,Tank,Order,Time,Filter,Up/Down,Resting,Resting place,Hovering,Hovering place,Sinking/Floating,Transition type,Swimming,Stereotypic swimming,Stereotypic swimming group/batch,Stereotypic swimming type,Stereotypic swimming place,Stereotypic swimming number of repititions,Interation with surface,Interaction with surface type,Out of view,Nest building,Foraging
Dragon,Barren,5,7:00 AM,Filter,up,33.68,Filter,5.06,Just under surface,,,253.69,,,,,,,,,,
Dragon,Barren,5,10:00 AM,Filter,up,7.21,Surface,9.88,Just under surface,,,13.55,,,,,,24.9,Aggressive swim up and down side (see reflection?),,,
Dragon,Barren,5,10:00 AM,Filter,up,5.48,Surface,,,,,28.9,,,,,,12.81,Aggressive swim up and down side (see reflection?),,,
Dragon,Barren,5,6:00 PM,Filter,up,63.06,Filter,,,,,19.05,,,,,,1.38,Aggressive swim up and down side (see reflection?),,,
Dragon,Barren,5,6:00 PM,Filter,up,7.98,Filter,,,,,4.33,,,,,,2.56,Aggressive swim up and down side (see reflection?),,,
Dragon,Barren,5,6:00 PM,Filter,up,61.63,Filter,,,,,1.3,,,,,,3.93,Aggressive swim up and down side (see reflection?),,,
Dragon,Barren,5,6:00 PM,Filter,up,,,,,,,20.88,,,,,,,,,,
Dragon,Barren,5,2:00 PM,Filter,up,,,,,,,8.66,17.1,1,Pacing,Back wall,4,1.55,Swim up and down side (see reflection?),,,
Dragon,Barren,5,2:00 PM,Filter,up,,,,,,,3.15,22.8,4,Pacing,Back wall,3,3.08,Swim up and down side (see reflection?),,,
Dragon,Barren,5,2:00 PM,Filter,up,,,,,,,13.33,20.81,5,Pacing,Back wall,4,2.3,Swim up and down side (see reflection?),,,
Dragon,Barren,5,2:00 PM,Filter,up,,,,,,,22.45,,,,,,9.85,Swim up and down side (see reflection?),,,
Dragon,Barren,5,2:00 PM,Filter,up,,,,,,,18.21,,,,,,3.96,Swim up and down side (see reflection?),,,
Dragon,Medium,4,2:00 PM,Filter,up,51.42,Plant leaves,,,,,4.43,,,,,,,,,,
Dragon,Small,2,2:00 PM,,up,71.53,Plant leaves,3,Just under surface,,,12.2,,,,,,,,,91.2,
Dragon,Large,1,10:00 AM,Filter,up,64.87,On or against barrel,8.51,Just under surface,,,7.96,,,,,,,,,,
Dragon,Large,1,2:00 PM,Filter,up,,,3.35,Just under surface,,,13.41,,,,,,,,,,
Dragon,Large,1,2:00 PM,Filter,up,,,7.3,Just under surface,,,3.46,,,,,,,,,,
Dragon,Barren,5,2:00 PM,Filter,up,,,,,,,28.95,21.3,3,Pacing,Back wall,4,15.41,Head shake/swim into wall,,,
Dragon,Small,2,7:00 AM,,up,22.57,Plant leaves,8.03,Just under surface,,,298.56,11.27,1,Pacing,Front wall,7,,,,,
Dragon,Small,2,7:00 AM,,up,4.63,Surface,9.43,Mid water column,,,,5.01,2,Pacing,Front wall,20,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,3.46,2,Pacing,Front wall,20,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,3.76,2,Pacing,Front wall,20,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,5.75,2,Pacing,Front wall,20,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,5.93,2,Pacing,Front wall,20,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,6,2,Pacing,Front wall,20,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,2.56,3,Pacing,Front wall,3,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,7.83,4,Pacing,Front wall,15,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,4.15,6,Pacing,Front wall,9,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,7.25,6,Pacing,Front wall,9,,,,,
Dragon,Small,2,7:00 AM,,up,,,,,,,,34.28,7,Pacing,Front wall,9,,,,,
Dragon,Small,2,10:00 AM,,up,6.71,Plant leaves,6.08,Just under surface,,,4.5,2.46,2,Pacing,Front wall,12,,,,68.27,
Dragon,Small,2,10:00 AM,,up,26,Plant leaves,5.45,Just under surface,,,6.73,3.2,2,Pacing,Front wall,12,,,,37.36,
